Commodity,GARCH,GJR-GARCH,EWMA,MEM,P-WEV
Turmeric,0.8457217784455825,0.8775520266573422,0.8118641108119842,0.739745691465074,0.034988417280704
Mustard,0.7461421312305546,0.7844366525003227,0.7710724602845994,0.7108013736735244,0.0907176368682688
Paddy,0.6592895885376043,0.659723485997944,0.6476054926081188,0.6122143222563261,0.2614679475499108
Greengram,0.7320153415028272,0.7762393682126862,0.8505379168731556,0.8312667029260545,0.0371316650762002
Cotton,0.5931156435435877,0.592376684873876,0.5919052688736209,0.5572656333076351,0.2367700842180725
DryChillies,0.2527758297718839,0.249712791725677,0.2700592289082226,0.3052709654946987,0.9542073721705274
KabuliChana,0.7654008486026002,0.7615691561273529,0.7636007858853853,0.7149404394146234,0.153818652374375
Sesamum,0.7841073884682479,0.7841262369786439,0.8133748199154427,0.7516213474164262,0.077876645890585
Cumin,0.501266595830808,0.5083867130911366,0.5316433496772188,0.4969088212682825,0.0973437378058293
Soybean,0.766949476332108,0.7646304153190819,0.7805767084305174,0.7299702840829926,0.1224709168986195
Potato,0.7341860040218082,0.7356525099308212,0.7573835884537539,0.7160974000176992,0.0342531542038996
Groundnut,0.7683293884129445,0.7640083215724695,0.7493366012295549,0.7259628748031753,0.1425189212723933
Jowar,0.6417984767958802,0.6461004034711623,0.6530171563439235,0.594524938434911,0.2265987332213986
Lentil,0.7014626445100752,0.7045801223214709,0.7269709569676572,0.6712762126145629,0.1787068371574593
Maize,0.7717340654695408,0.8099172964227607,0.7745511404602793,0.7672791122298518,0.0306276427238157
Arhar,0.7892029537714819,0.7969274592331722,0.7321675744349153,0.6776243275566859,0.1246810718322472
Onion,0.6036436998069667,0.6331709529001043,0.698186356797537,0.5748176010599382,0.1598698148964116
Tomato,0.7188499914601703,0.7458415433858169,0.7038269068463111,0.5943490417870777,0.1190213818169351
Bengalgram,0.6683414837867708,0.6704976008201936,0.6838967625967473,0.629808589690615,0.0787411564318436
Wheat,0.7727532026012546,0.7698295114057591,0.7941050549570744,0.7744936773768453,0.0247849449103549
Ragi,0.7415031134897154,0.7413542301305643,0.7449170874276634,0.7050823682718819,0.1487188378783969
Coriander,0.6909809171708882,0.6914702135225954,0.7020111082577247,0.6559587437905615,0.136150673992604
Bajra,0.6634145068539119,0.6652581623643801,0.6723635647254989,0.6106843292730993,0.2444365406768651
