Commodity,GARCH,GJR-GARCH,EWMA,MEM,P-WEV
Turmeric,1878.3624167033731,2030.8743318730108,1361.2550990155037,1338.1309563434274,100.0
Mustard,1597.33645373148,1657.1693842240936,1913.255750153255,1782.6103818129425,100.0
Paddy,1267.090185456159,1267.5665402578331,1252.5632652279012,1175.318027050716,100.0
Greengram,6050.4402664451245,5888.694681726346,13192.346734610146,12881.588294192998,100.0
Cotton,2186.3640605972746,2182.293826567019,2109.3380208535755,1930.067983467639,100.0
DryChillies,46.171062433825085,45.772441658939115,46.05924740647403,43.65589562549278,100.0
KabuliChana,3147.686885825348,3139.526705384548,4659.42085724671,4384.639222031658,100.0
Sesamum,3946.950686767592,3947.546211248787,3746.4565817761295,3614.449379855692,100.0
Cumin,2301.916290246015,2315.494822755047,3281.486896811785,3125.8726039560984,100.0
Soybean,1491.2362795720312,1479.742934263041,1421.1404856715028,1355.281840553196,100.0
Potato,4073.017850897337,4111.205080582628,4163.99296102792,3948.669917201707,100.0
Groundnut,2538.3347907602583,2527.7824442290475,2731.0054167820263,2654.7341135419515,100.0
Jowar,1339.3130990726634,1320.2554184116998,1612.1974234654836,1522.9157695252031,100.0
Lentil,2767.3748555900593,2768.069948844952,3116.5555388415733,2955.9208839759385,100.0
Maize,4572.771103560787,5026.6504910099875,3440.3065196743546,3317.8887900457967,100.0
Arhar,1487.1174058884678,1493.0307304849714,2332.121839844064,2218.799351275783,100.0
Onion,774.0156642623322,791.6599512102655,1571.2460671896426,1318.110170751651,100.0
Tomato,1075.947972608729,1080.7883376465072,1502.4982673542356,1353.885093423048,100.0
Bengalgram,2482.331559427588,2479.695109654299,2563.868030139654,2421.5743566448077,100.0
Wheat,7058.98868235566,7015.672831820929,6750.06791844322,6638.8131130567845,100.0
Ragi,1787.697060837399,1779.0067669714424,1839.1277877409404,1774.4594413672185,100.0
Coriander,2489.7866907498164,2488.259442771738,2572.362130675381,2434.4638746414903,100.0
Bajra,1122.340683927238,1124.0959983966532,1193.106702215859,1091.299751589214,100.0
