Commodity,GARCH,GJR-GARCH,EWMA,MEM,P-WEV
Turmeric,18950478.992205087,20131505.765992507,144335738.33629245,140511383.47262958,3721898.1843575425
Mustard,1266397.1639344865,1424067.2570158262,15167106.384262456,14977891.19157564,97692.46575342464
Paddy,59017.00007425379,59106.96334701973,1681114.0126842433,1660678.945331822,10538.757467480327
Greengram,4196177.548995566,4572147.243151432,50623820.80803556,50209668.56067978,38958.684375
Cotton,1772249.809777812,1765219.467797884,23500474.235793352,23225819.73443125,356742.1811740891
DryChillies,615055.5107121693,622556.9388011852,19050746.908873696,17065636.565796204,5771918.510979075
KabuliChana,5096320.708082738,5163143.379315579,37041037.282947265,36324006.849516355,546042.1716230742
Sesamum,6851431.340887829,6855244.274789618,85526453.39182317,84292151.48358396,190554.2385057471
Cumin,25250488.40503019,27669380.497152433,218757632.96173143,215774109.4386782,1424195.600207223
Soybean,1154153.7829079942,1166369.3839497298,17270734.746341284,17133281.58820314,80975.7460555973
Potato,235444.930076136,230457.0325679388,950655.5719321776,923976.7004032136,3316.469298245614
Groundnut,1709158.859224301,1685461.791173474,20566660.86410057,20443921.0932167,73870.84232592053
Jowar,373834.6673732979,383183.4935217626,4426311.5489272615,4319924.1092796065,61496.85050251256
Lentil,1077151.3308181006,1106505.8263263616,13353899.425581804,13182838.74405629,103730.58587479936
Maize,105251.27167349678,125461.92724050222,3104917.5080647813,3075338.307605609,1100.2100591715975
Arhar,3552746.331439883,3556695.7944788015,24525070.41929857,24105253.30125521,109301.33117816092
Onion,1385641.5370355542,1551891.8502347905,3293139.2597091645,2771277.993779422,161113.5985915493
Tomato,1078013.251041209,1169612.7699913287,2850485.5776557336,2556741.909266813,46864.1852770885
Bengalgram,1048369.8159081478,1056769.457661519,17391287.887857135,17171329.477807242,28363.36988847584
Wheat,180770.23522018283,178942.041218364,3140567.055968471,3117000.95980466,2586.1277777777777
Ragi,258170.39313537625,257947.51392460035,2546162.859291021,2503705.1896415153,16922.922729140977
Coriander,3179634.6177388597,3199544.1726354435,33466012.264434885,33078493.00612365,168351.1974872399
Bajra,165341.327709098,167054.93463959833,2319188.0980840405,2276687.1780810314,26686.93083072645
