Commodity,MAE,MSE,RMSE,MAPE
Turmeric,1415.5101456834423,2777264.070013296,1666.51254721148,12.865062874521824
Mustard,283.8079474409877,183377.7582130745,428.22629322949626,5.787329111272864
Paddy,122.19991437209033,19525.435741406458,139.7334453214636,7.862467197632661
Greengram,120.43320187928703,17330.02948251906,131.6435698487361,1.377956351407445
Cotton,479.8036592527499,388412.73822441,623.2276776783987,7.021137776959424
DryChillies,2763.0675626013435,10732900.609199114,3276.110591722922,49.524212970010176
KabuliChana,2705.4969507601213,8966140.493928153,2994.3514312665693,37.98870044553857
Sesamum,2132.155559714456,5074431.38255052,2252.649857956296,16.755074976037708
Cumin,1698.7441142849646,8852319.169480208,2975.2847207419004,7.55828414441297
Soybean,205.46657459906422,70736.91513887158,265.9641237815198,4.760459005349685
Potato,46.68965327887913,8178.136615261585,90.4330504586768,5.084447691605788
Groundnut,244.57017696016175,102411.341358529,320.0177203820579,3.846038061997501
Jowar,317.037582518267,155073.3284135546,393.7935098672331,12.986019271727578
Lentil,391.4875236519484,306317.0495745344,553.4591670345106,7.984189587729186
Maize,58.96863693303979,3895.275741116621,62.41214417977178,2.8220935755710435
Arhar,863.694076471915,991286.0062183889,995.6334698162717,13.57930970028959
Onion,506.1779845459926,339234.8820123621,582.4387367031508,45.511050859861264
Tomato,536.6366359944362,597012.0051621072,772.665519589238,39.90096211807526
Bengalgram,394.25759635247795,177679.62899372305,421.5206151467838,8.767292094774891
Wheat,33.600718891244135,3657.2615667894515,60.475297161646516,1.4246075987576923
Ragi,318.3916515125911,123857.37805979553,351.9337694223098,16.416469088567684
Coriander,427.2379377440176,294536.3267656421,542.7120108912665,6.230045980802062
Bajra,164.0645141360556,49667.88682924767,222.862932829234,8.005611116890368
