File,Model,MAPE
Turmeric_Maharashtra.csv,GARCH,1878.3624167033731
Turmeric_Maharashtra.csv,GJR-GARCH,2030.8743318730108
Turmeric_Maharashtra.csv,EWMA,1361.2550990155037
Turmeric_Maharashtra.csv,MEM,1338.1309563434274
Turmeric_Maharashtra.csv,P-WEV,100.0
Mustard_Rajasthan.csv,GARCH,1597.33645373148
Mustard_Rajasthan.csv,GJR-GARCH,1657.1693842240936
Mustard_Rajasthan.csv,EWMA,1913.2557501532547
Mustard_Rajasthan.csv,MEM,1782.6103818129423
Mustard_Rajasthan.csv,P-WEV,100.0
Paddy_Chattisgarh.csv,GARCH,1267.090185456159
Paddy_Chattisgarh.csv,GJR-GARCH,1267.5665402578331
Paddy_Chattisgarh.csv,EWMA,1252.5632652279012
Paddy_Chattisgarh.csv,MEM,1175.318027050716
Paddy_Chattisgarh.csv,P-WEV,100.0
Greengram_UP.csv,GARCH,6050.4402664451245
Greengram_UP.csv,GJR-GARCH,5888.694681726346
Greengram_UP.csv,EWMA,13192.346734610146
Greengram_UP.csv,MEM,12881.588294192998
Greengram_UP.csv,P-WEV,100.0
Cotton_Gujarat.csv,GARCH,2186.3640605972746
Cotton_Gujarat.csv,GJR-GARCH,2182.293826567019
Cotton_Gujarat.csv,EWMA,2109.3380208535755
Cotton_Gujarat.csv,MEM,1930.0679834676387
Cotton_Gujarat.csv,P-WEV,100.0
DryChillies_AP.csv,GARCH,46.171062433825085
DryChillies_AP.csv,GJR-GARCH,45.772441658939115
DryChillies_AP.csv,EWMA,46.059247406474036
DryChillies_AP.csv,MEM,43.65589562549278
DryChillies_AP.csv,P-WEV,100.0
KabuliChana_MP.csv,GARCH,3147.686885825348
KabuliChana_MP.csv,GJR-GARCH,3139.526705384548
KabuliChana_MP.csv,EWMA,4659.42085724671
KabuliChana_MP.csv,MEM,4384.639222031658
KabuliChana_MP.csv,P-WEV,100.0
Sesamum_Gujarat.csv,GARCH,3946.9506867675923
Sesamum_Gujarat.csv,GJR-GARCH,3947.5462112487876
Sesamum_Gujarat.csv,EWMA,3746.4565817761295
Sesamum_Gujarat.csv,MEM,3614.4493798556923
Sesamum_Gujarat.csv,P-WEV,100.0
Cumin_Gujarat.csv,GARCH,2301.916290246015
Cumin_Gujarat.csv,GJR-GARCH,2315.494822755047
Cumin_Gujarat.csv,EWMA,3281.486896811785
Cumin_Gujarat.csv,MEM,3125.8726039560984
Cumin_Gujarat.csv,P-WEV,100.0
Soybean_MP.csv,GARCH,1491.2362795720312
Soybean_MP.csv,GJR-GARCH,1479.742934263041
Soybean_MP.csv,EWMA,1421.1404856715028
Soybean_MP.csv,MEM,1355.281840553196
Soybean_MP.csv,P-WEV,100.0
Potato_UP.csv,GARCH,4073.017850897337
Potato_UP.csv,GJR-GARCH,4111.205080582628
Potato_UP.csv,EWMA,4163.99296102792
Potato_UP.csv,MEM,3948.6699172017074
Potato_UP.csv,P-WEV,100.0
Groundnut_Guj.csv,GARCH,2538.3347907602583
Groundnut_Guj.csv,GJR-GARCH,2527.7824442290475
Groundnut_Guj.csv,EWMA,2731.0054167820263
Groundnut_Guj.csv,MEM,2654.7341135419515
Groundnut_Guj.csv,P-WEV,100.0
Jowar_Maharashtra.csv,GARCH,1339.3130990726634
Jowar_Maharashtra.csv,GJR-GARCH,1320.2554184116998
Jowar_Maharashtra.csv,EWMA,1612.1974234654836
Jowar_Maharashtra.csv,MEM,1522.9157695252031
Jowar_Maharashtra.csv,P-WEV,100.0
Lentil_MP.csv,GARCH,2767.3748555900593
Lentil_MP.csv,GJR-GARCH,2768.069948844952
Lentil_MP.csv,EWMA,3116.5555388415733
Lentil_MP.csv,MEM,2955.9208839759385
Lentil_MP.csv,P-WEV,100.0
Maize_Chattisgarh.csv,GARCH,4572.771103560787
Maize_Chattisgarh.csv,GJR-GARCH,5026.6504910099875
Maize_Chattisgarh.csv,EWMA,3440.3065196743546
Maize_Chattisgarh.csv,MEM,3317.8887900457967
