File,Model,R2
Turmeric_Maharashtra.csv,GARCH,-3.640815826141477
Turmeric_Maharashtra.csv,GJR-GARCH,-4.022655317942468
Turmeric_Maharashtra.csv,EWMA,-3.522990324790892
Turmeric_Maharashtra.csv,MEM,-2.7625247165141547
Turmeric_Maharashtra.csv,P-WEV,-0.004897458292918433
Mustard_Rajasthan.csv,GARCH,-13.187157806720965
Mustard_Rajasthan.csv,GJR-GARCH,-14.951261116396724
Mustard_Rajasthan.csv,EWMA,-9.317304812500211
Mustard_Rajasthan.csv,MEM,-8.5475110389282
Mustard_Rajasthan.csv,P-WEV,-0.09436727534445288
Paddy_Chattisgarh.csv,GARCH,-10.391065891322489
Paddy_Chattisgarh.csv,GJR-GARCH,-10.408354889486588
Paddy_Chattisgarh.csv,EWMA,-9.472173994152692
Paddy_Chattisgarh.csv,MEM,-8.815572926440597
Paddy_Chattisgarh.csv,P-WEV,-1.0341151149134125
Greengram_UP.csv,GARCH,-131.5430659990395
Greengram_UP.csv,GJR-GARCH,-156.14273019361238
Greengram_UP.csv,EWMA,-100.04356880704223
Greengram_UP.csv,MEM,-97.2711207456539
Greengram_UP.csv,P-WEV,-0.1514382463695798
Cotton_Gujarat.csv,GARCH,-6.689480148766672
Cotton_Gujarat.csv,GJR-GARCH,-6.653810789473
Cotton_Gujarat.csv,EWMA,-5.465283884691803
Cotton_Gujarat.csv,MEM,-5.093747123064659
Cotton_Gujarat.csv,P-WEV,-0.5478575451146175
DryChillies_AP.csv,GARCH,0.3197740369109223
DryChillies_AP.csv,GJR-GARCH,0.3234795563786699
DryChillies_AP.csv,EWMA,0.3200807299927284
DryChillies_AP.csv,MEM,0.2413874483591315
DryChillies_AP.csv,P-WEV,-4.732118041538812
KabuliChana_MP.csv,GARCH,-10.936561368516971
KabuliChana_MP.csv,GJR-GARCH,-10.800798704769269
KabuliChana_MP.csv,EWMA,-6.9728195763565815
KabuliChana_MP.csv,MEM,-6.305485248384972
KabuliChana_MP.csv,P-WEV,-0.2475447331579137
Sesamum_Gujarat.csv,GARCH,-46.127606575133214
Sesamum_Gujarat.csv,GJR-GARCH,-46.1277727939744
Sesamum_Gujarat.csv,EWMA,-44.219874548283286
Sesamum_Gujarat.csv,MEM,-41.825307669676306
Sesamum_Gujarat.csv,P-WEV,-0.3146316606831432
Cumin_Gujarat.csv,GARCH,-24.852256515498986
Cumin_Gujarat.csv,GJR-GARCH,-25.79818309439438
Cumin_Gujarat.csv,EWMA,-20.753520964385572
Cumin_Gujarat.csv,MEM,-18.895238271532616
Cumin_Gujarat.csv,P-WEV,-0.2644419342926756
Soybean_MP.csv,GARCH,-16.437861299512768
Soybean_MP.csv,GJR-GARCH,-16.33284969680719
Soybean_MP.csv,EWMA,-15.478904257295355
Soybean_MP.csv,MEM,-14.198986422805373
Soybean_MP.csv,P-WEV,-0.30285584651372166
Potato_UP.csv,GARCH,-76.77972940945982
Potato_UP.csv,GJR-GARCH,-75.13265012705956
Potato_UP.csv,EWMA,-76.59787667826286
Potato_UP.csv,MEM,-73.15050838015591
Potato_UP.csv,P-WEV,-0.09560480391533899
Groundnut_Guj.csv,GARCH,-41.24568267144719
Groundnut_Guj.csv,GJR-GARCH,-40.610917262463104
Groundnut_Guj.csv,EWMA,-31.6987789692692
Groundnut_Guj.csv,MEM,-30.756863395388056
Groundnut_Guj.csv,P-WEV,-0.8258448190073218
Jowar_Maharashtra.csv,GARCH,-9.154126366290255
Jowar_Maharashtra.csv,GJR-GARCH,-9.411420159825251
Jowar_Maharashtra.csv,EWMA,-7.751492128843699
Jowar_Maharashtra.csv,MEM,-6.862202166153628
Jowar_Maharashtra.csv,P-WEV,-0.6707024291687471
Lentil_MP.csv,GARCH,-15.92050085624673
Lentil_MP.csv,GJR-GARCH,-16.24410520418691
Lentil_MP.csv,EWMA,-13.493706976256115
Lentil_MP.csv,MEM,-12.300769304699227
Lentil_MP.csv,P-WEV,-0.6227349441861332
Maize_Chattisgarh.csv,GARCH,-103.24972561516284
Maize_Chattisgarh.csv,GJR-GARCH,-123.26877446318305
Maize_Chattisgarh.csv,EWMA,-78.8604238113468
Maize_Chattisgarh.csv,MEM,-81.37923093145247
Maize_Chattisgarh.csv,P-WEV,-0.08974464169536556
Arhar_Maharashtra.csv,GARCH,-51.76462334478468
Arhar_Maharashtra.csv,GJR-GARCH,-53.08721321880979
Arhar_Maharashtra.csv,EWMA,-30.92715020300222
Arhar_Maharashtra.csv,MEM,-28.150118564629675
Arhar_Maharashtra.csv,P-WEV,-0.6223736144395766
