File,Model,MAPE
Turmeric_Maharashtra.csv,GARCH,1895.6077839606128
Turmeric_Maharashtra.csv,GJR-GARCH,2030.863356800917
Turmeric_Maharashtra.csv,EWMA,1361.2550990155037
Turmeric_Maharashtra.csv,MEM,1338.1309563434274
Turmeric_Maharashtra.csv,P-WEV,100.0
Mustard_Rajasthan.csv,GARCH,1597.3357431745337
Mustard_Rajasthan.csv,GJR-GARCH,1657.1696715193511
Mustard_Rajasthan.csv,EWMA,1913.2557501532547
Mustard_Rajasthan.csv,MEM,1782.6103818129423
Mustard_Rajasthan.csv,P-WEV,100.0
Paddy_Chattisgarh.csv,GARCH,1267.0878076421163
Paddy_Chattisgarh.csv,GJR-GARCH,1267.567872700154
Paddy_Chattisgarh.csv,EWMA,1252.5632652279012
Paddy_Chattisgarh.csv,MEM,1175.318027050716
Paddy_Chattisgarh.csv,P-WEV,100.0
Greengram_UP.csv,GARCH,6050.450590395988
Greengram_UP.csv,GJR-GARCH,5888.671413913606
Greengram_UP.csv,EWMA,13192.346734610146
Greengram_UP.csv,MEM,12881.588294192998
Greengram_UP.csv,P-WEV,100.0
Cotton_Gujarat.csv,GARCH,2186.3652210581527
Cotton_Gujarat.csv,GJR-GARCH,2182.2937064480834
Cotton_Gujarat.csv,EWMA,2109.3380208535755
Cotton_Gujarat.csv,MEM,1930.0679834676387
Cotton_Gujarat.csv,P-WEV,100.0
DryChillies_AP.csv,GARCH,46.17106991087115
DryChillies_AP.csv,GJR-GARCH,45.77243967265552
DryChillies_AP.csv,EWMA,46.059247406474036
DryChillies_AP.csv,MEM,43.65589562549278
DryChillies_AP.csv,P-WEV,100.0
KabuliChana_MP.csv,GARCH,3147.68289716
KabuliChana_MP.csv,GJR-GARCH,3139.5339267552436
KabuliChana_MP.csv,EWMA,4659.42085724671
KabuliChana_MP.csv,MEM,4384.639222031658
KabuliChana_MP.csv,P-WEV,100.0
Sesamum_Gujarat.csv,GARCH,3946.950418380518
Sesamum_Gujarat.csv,GJR-GARCH,3947.54626456792
Sesamum_Gujarat.csv,EWMA,3746.4565817761295
Sesamum_Gujarat.csv,MEM,3614.4493798556923
Sesamum_Gujarat.csv,P-WEV,100.0
